id;kategoria;typ;tytul;organ;data_aktu;dzu_lub_sygnatura;data_wersji;url_zrodlo;data_pobrania;sciezka_md;sciezka_raw;status;pewnosc_metadanych;tagi;uwagi
001;01-ustawy-rdzeniowe;ustawa;Ustawa o społecznych formach rozwoju mieszkalnictwa (dawniej: o niektórych formach popierania budownictwa mieszkaniowego);Sejm RP;1995-10-26;Dz.U. 1995 nr 133 poz. 654;;;;;;do pobrania;z pamieci;"SIM;TBS;partycypacja;czynsz;SBC";Fundament bazy. Pobrać tekst jednolity + listę aktów zmieniających 2020-2026
002;01-ustawy-rdzeniowe;ustawa;Ustawa o finansowym wsparciu niektórych przedsięwzięć mieszkaniowych (Fundusz Dopłat);Sejm RP;2006-12-08;Dz.U. 2006 nr 251 poz. 1844;;;;;;do pobrania;z pamieci;"Fundusz Doplat;gmina;komunalne";Tytuł mógł zostać zmieniony nowelizacjami — potwierdzić
003;01-ustawy-rdzeniowe;ustawa;Ustawa o pomocy państwa w ponoszeniu wydatków mieszkaniowych w pierwszych latach najmu mieszkania (Mieszkanie na Start);Sejm RP;2018-07-20;;;;;;;do pobrania;z pamieci;"Mieszkanie na Start;doplaty do czynszu";
004;01-ustawy-rdzeniowe;ustawa;Ustawa o zmianie niektórych ustaw wspierających rozwój mieszkalnictwa (pakiet SIM/RFRM);Sejm RP;2020-12-10;;;;;;;do pobrania;z pamieci;"SIM;RFRM;nowelizacja";Akt zmieniający — istotny dla historii zmian TBS→SIM
005;01-ustawy-rdzeniowe;ustawa;Ustawa o rozliczaniu ceny lokali lub budynków w cenie nieruchomości zbywanych z gminnego zasobu nieruchomości (lokal za grunt);Sejm RP;2020-12-16;;;;;;;do pobrania;z pamieci;"lokal za grunt;grunt gminy";
006;01-ustawy-rdzeniowe;ustawa;Ustawa o Krajowym Zasobie Nieruchomości;Sejm RP;2017-07-20;Dz.U. 2017 poz. 1529;;;;;;do pobrania;z pamieci;"KZN;SIM KZN;najem instytucjonalny";
007;01-ustawy-rdzeniowe;ustawa;Ustawa o ułatwieniach w przygotowaniu i realizacji inwestycji mieszkaniowych oraz inwestycji towarzyszących (specustawa mieszkaniowa);Sejm RP;2018-07-05;;;;;;;do pobrania;z pamieci;"specustawa;lokalizacja";SPRAWDZIĆ czy obowiązuje i do kiedy — akt epizodyczny
008;01-ustawy-rdzeniowe;ustawa;Ustawa o ochronie praw lokatorów, mieszkaniowym zasobie gminy i o zmianie Kodeksu cywilnego;Sejm RP;2001-06-21;Dz.U. 2001 nr 71 poz. 733;;;;;;do pobrania;z pamieci;"najem;zasob gminy;najem socjalny;RTB;najem instytucjonalny";
009;01-ustawy-rdzeniowe;ustawa;Ustawa o dodatkach mieszkaniowych;Sejm RP;2001-06-21;Dz.U. 2001 nr 71 poz. 734;;;;;;do pobrania;z pamieci;"dodatki mieszkaniowe;najemcy";
010;01-ustawy-rdzeniowe;ustawa;Ustawa o wspieraniu termomodernizacji i remontów oraz o centralnej ewidencji emisyjności budynków;Sejm RP;2008-11-21;;;;;;;do pobrania;z pamieci;"termomodernizacja;premia;BGK";
011;01-ustawy-rdzeniowe;ustawa;Akty zmieniające ustawę o SIM z lat 2023-2026;Sejm RP;;;;;;;;do pobrania;z pamieci;"nowelizacja;SIM";LUKA — pobrać z ISAP listę aktów zmieniających, nie odtwarzać z pamięci
012;02-ustawy-posrednie;ustawa;Prawo budowlane;Sejm RP;1994-07-07;Dz.U. 1994 nr 89 poz. 414;;;;;;do pobrania;z pamieci;proces inwestycyjny;
013;02-ustawy-posrednie;ustawa;Ustawa o planowaniu i zagospodarowaniu przestrzennym;Sejm RP;2003-03-27;Dz.U. 2003 nr 80 poz. 717;;;;;;do pobrania;z pamieci;"MPZP;plan ogolny;lokalizacja";Wraz z nowelizacją 2023 (plan ogólny) — sprawdzić terminy przejściowe
014;02-ustawy-posrednie;ustawa;Ustawa o gospodarce nieruchomościami;Sejm RP;1997-08-21;Dz.U. 1997 nr 115 poz. 741;;;;;;do pobrania;z pamieci;"aport;bonifikata;wycena;uzytkowanie wieczyste";
015;02-ustawy-posrednie;ustawa;Ustawa o przekształceniu prawa użytkowania wieczystego gruntów zabudowanych na cele mieszkaniowe w prawo własności;Sejm RP;2018-07-20;;;;;;;do pobrania;z pamieci;uzytkowanie wieczyste;
016;02-ustawy-posrednie;ustawa;Ustawa o charakterystyce energetycznej budynków;Sejm RP;2014-08-29;;;;;;;do pobrania;z pamieci;"energia;swiadectwo";
